id,minN,minE,maxN,maxE,byteOffset,vertexCount
2531,7430790,886614,7433940,889094,6683272,5
2531,7433208,886526,7446138,893990,6683312,157
2531,7446426,889456,7446730,890192,6684568,11
2531,7430018,883296,7431604,884124,6684656,6
2532,6595804,494688,6627842,522468,6684704,1011
2532,6626180,502056,6626922,502598,6692792,28
2533,6510682,478454,6532822,499484,6693016,1132
2533,6517128,490756,6517708,491666,6702072,22
2533,6511238,483588,6511430,483828,6702248,15
2535,6581616,576572,6593220,585238,6702368,250
2536,6541566,586626,6550808,597136,6704368,248
2537,6489462,571190,6498358,577548,6706352,98
2538,6486330,569452,6491172,577878,6707136,60
2540,6465812,538176,6473780,546498,6707616,101
2541,6422018,464368,6442300,477750,6708424,760
2542,6376650,542312,6399130,560694,6714504,977
2542,6390232,542576,6390398,542712,6722320,15
2543,6357832,529777,6369646,539666,6722440,305
2544,6285896,553840,6290688,560224,6724880,233
2545,6460700,451474,6467896,462226,6726744,223
2546,6447552,437580,6450214,440072,6728528,29
2547,6403956,404522,6407978,408700,6728760,134
2548,6401366,318300,6407812,321914,6729832,165
2549,6469438,427330,6476032,431978,6731152,90
2550,6475514,429400,6479870,435628,6731872,85
2552,6283332,503990,6299112,522062,6732552,694
2553,6371912,322992,6376366,326486,6738104,112
2554,6261076,372302,6269592,392280,6739000,383
2555,6199054,443480,6211708,452318,6742064,196
2556,6234116,367284,6240190,371220,6743632,287
2557,6224852,351354,6226182,353634,6745928,30
2557,6226350,346912,6234398,355886,6746168,82
